PLAN_CONDITIONAL,NEW_DESC_HANDLING,CONTINUS_DURATION,WORK_OBJ_TYPE,INHERIT_OBJ_TYPE,GLOBAL_RANK,SELECTION_CRI,INHERIT_SEL_CRI,MISC_INFO,DP_NUM1,DP_NUM2,DP_NUM3,DP_NUM4,DP_NUM5,DP_STR1,DP_STR3,DP_STR4,DP_STR5,CONT_CALC_TYPE
1,0,0,0,0,,,,,0,2,1,0,0,B,,,,2
1,0,0,0,0,,,,,0,2,1,0,0,C,,,,2
