CONDITION_ID|QUANTITY_NATURE|CONDITION_OPERATOR|PLAN_NAME|VERSION_ID
134981|1|NONE|1K577Q|2
134982|1|NONE|1K568Q|2
134983|1|NONE|1R568Q|2
134984|1|NONE|1R577Q|2
