DISCOUNT_ITEM_ID|DISCOUNT_ITEM_TYPE|DISCOUNT_ITEM_VALUE|CONDITION_ID
1615840|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1615841|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1615842|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1615843|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1615844|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1615845|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615846|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1615847|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615848|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1615851|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1615852|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1615853|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1615854|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1615857|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1615858|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1615861|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615862|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1615863|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1615864|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1615869|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1615870|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1615871|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615872|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1615873|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1615874|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1615885|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615886|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1615887|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1615888|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1615889|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615890|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1615891|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1615892|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1615913|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1615914|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1615915|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1615916|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1615917|1|HPN;R  ;QR911    ;*;*;*;*;R;*;*;|134984
1615918|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615919|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1615920|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1615921|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1615922|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1615923|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615924|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1615925|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1615926|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1615927|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615928|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1615929|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1615930|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
